2015-06-15 12:52:08,999 | WARN  | Transport Connection to: tcp://127.0.0.1:52211 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52211
2015-06-15 12:52:08,999 | WARN  | Transport Connection to: tcp://127.0.0.1:52212 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52212
2015-06-15 12:57:45,922 | WARN  | Transport Connection to: tcp://127.0.0.1:52347 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52347
2015-06-15 12:57:45,923 | WARN  | Transport Connection to: tcp://127.0.0.1:52348 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52348
2015-06-15 12:57:45,924 | WARN  | Transport Connection to: tcp://127.0.0.1:52351 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52351
2015-06-15 12:57:45,923 | WARN  | Transport Connection to: tcp://127.0.0.1:52350 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52350
2015-06-15 12:57:45,923 | WARN  | Transport Connection to: tcp://127.0.0.1:52349 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52349
2015-06-15 12:57:45,960 | WARN  | Transport Connection to: tcp://127.0.0.1:52349 failed: org.apache.activemq.transport.InactivityIOException: Cannot send, channel has already failed: tcp://127.0.0.1:52349 | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2015-06-15 13:00:33,835 | WARN  | Transport Connection to: tcp://127.0.0.1:52705 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52705
2015-06-15 13:00:33,839 | WARN  | Transport Connection to: tcp://127.0.0.1:52709 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52709
2015-06-15 13:00:33,838 | WARN  | Transport Connection to: tcp://127.0.0.1:52708 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52708
2015-06-15 13:00:33,837 | WARN  | Transport Connection to: tcp://127.0.0.1:52707 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52707
2015-06-15 13:00:33,836 | WARN  | Transport Connection to: tcp://127.0.0.1:52706 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52706
2015-06-15 13:03:04,544 | WARN  | Transport Connection to: tcp://127.0.0.1:53037 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53037
2015-06-15 13:03:04,547 | WARN  | Transport Connection to: tcp://127.0.0.1:53040 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53040
2015-06-15 13:03:04,545 | WARN  | Transport Connection to: tcp://127.0.0.1:53038 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53038
2015-06-15 13:03:04,548 | WARN  | Transport Connection to: tcp://127.0.0.1:53039 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53039
2015-06-15 13:03:04,548 | WARN  | Transport Connection to: tcp://127.0.0.1:53041 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53041
2015-06-15 13:05:47,153 | WARN  | Transport Connection to: tcp://127.0.0.1:53382 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53382
2015-06-15 13:05:47,156 | WARN  | Transport Connection to: tcp://127.0.0.1:53386 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53386
